infer1,infer2,infer3,infer4,infer5,infer6,infer7,infer8,infer9,infer10,infer11,infer12,infer13,infer14,infer15,infer16,scan1,scan2,scan3,scan4,scan5,scan6,scan7,scan8,scan9,scan10,scan11,scan12,scan13,scan14,scan15,scan16,age,strategy,knowledge,precision,recall,fairness,condition,id,experiment
2,2,3,1,0,1,4,3,2,3,2,3,2,3,2,2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,23,I am looking how many People was scanned,5.0,3.0,3.0,4.0,unknown,exp1_check_ext_38,1
5,5,5,5,2,2,5,5,5,4,2,2,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,19,i guessed according to the aliens that alex scanned or not only,6.0,5.0,7.0,6.0,unknown,exp1_check_ext_39,1
2,5,4,4,2,1,4,4,4,4,2,1,3,3,3,3,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20,Because of Alex,6.0,6.0,6.0,6.0,unknown,exp1_check_ext_40,1
6,6,5,5,2,1,6,6,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,20,I tried relying on alex's knowledge about planet theft rates,5.0,6.0,7.0,3.0,unknown,exp1_check_ext_41,1
6,5,1,6,6,5,6,6,2,3,3,5,2,4,6,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,22,I do not have idea,4.0,4.0,6.0,5.0,unknown,exp1_check_ext_42,1
6,6,5,5,2,5,5,5,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,41,"I based on the experience of the border, all those who have made the scan may have a gem ",4.0,6.0,4.0,4.0,unknown,exp1_check_ext_43,1
5,5,4,4,2,2,5,4,5,4,2,1,4,3,2,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,19,Based on Alex's decision and i also tried to be realistic.,5.0,2.0,5.0,3.0,unknown,exp1_check_ext_44,1
6,6,5,5,2,1,6,6,5,4,3,1,4,2,3,3,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,21,I predicted it basing on proportions between scanned aliens and aliens passed without scanning.,7.0,4.0,6.0,3.0,unknown,exp1_check_ext_45,1
6,0,1,5,2,1,6,0,1,6,2,1,2,4,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,22,Because Alex knew how many gems new visitors might have stolen.,7.0,6.0,6.0,5.0,unknown,exp1_check_ext_46,1
3,3,3,3,1,2,3,3,2,3,1,0,2,2,3,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,29,I chose half of the quantity of visitors that Alex scanned.,6.0,5.0,6.0,4.0,unknown,exp1_check_ext_47,1
6,6,5,6,6,6,6,6,6,6,6,1,6,6,3,3,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,42,"I don't personally know the theft rates of each planet, so to me any of them could be a thief",5.0,3.0,4.0,3.0,unknown,exp1_check_ext_48,1
0,0,1,1,4,3,0,0,1,5,4,2,2,2,3,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,30,By count of visitors whitch let pass,6.0,4.0,5.0,6.0,unknown,exp1_check_ext_49,1
6,6,5,5,2,1,6,6,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,30,"As Alex knows the number of thieves from each place, I observed closely how many aliens he let pass and how many were checked by him and I based my assumptions on it. ",6.0,6.0,6.0,6.0,unknown,exp1_check_ext_50,1
6,0,5,1,6,4,0,6,1,1,4,4,4,2,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,23,I just shoot,5.0,4.0,4.0,5.0,unknown,exp1_check_ext_51,1
6,6,5,5,2,1,6,6,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,22,Same proportion that Alex scanned.,7.0,7.0,7.0,5.0,unknown,exp1_check_ext_52,1
5,5,4,4,2,1,5,5,4,5,2,1,3,4,2,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,18,I trusted Alex's judgment,6.0,2.0,5.0,6.0,unknown,exp1_check_ext_53,1
3,2,3,1,3,1,6,5,5,4,3,1,3,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,26,yuan,5.0,3.0,3.0,5.0,6_counter,exp1_both_ext_0,1
2,1,2,1,3,2,6,5,5,2,1,0,3,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,26,33,7.0,7.0,7.0,7.0,6_counter,exp1_both_ext_1,1
6,6,5,5,2,1,6,6,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,36,"Since Alex knows theft rates very well, the portion of people he scanned indicated the proportion of people that might have stolen something.",7.0,5.0,3.0,2.0,6_counter,exp1_both_ext_4,1
6,6,5,5,2,1,6,6,5,5,2,1,4,4,2,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,21,"I counted the number of visitors Adam scanned, because I thought he scanned more when he had a visitor from a planet that statistically has more thieves",3.0,2.0,5.0,6.0,6_counter,exp1_both_ext_5,1
2,2,2,3,2,4,4,2,4,3,2,2,2,2,2,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,18,I took into consideration the planets crime rates,2.0,6.0,5.0,6.0,6_counter,exp1_both_ext_6,1
1,0,4,3,3,2,6,5,5,5,1,0,6,3,2,2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,22,"I based the decision on Alex choice, because he knows the theft ratio.",6.0,6.0,5.0,5.0,6_counter,exp1_both_ext_7,1
1,0,1,0,3,1,6,5,6,4,2,0,3,2,2,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,20,"If the number of individuals from a specific planet were caught stealing was above 50%, i would want to check every visitor from that planet.",3.0,6.0,6.0,6.0,6_counter,exp1_both_ext_9,1
2,1,2,1,2,2,5,5,5,4,2,2,3,3,3,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,20,They are based mostly on the scans I've seen,6.0,6.0,4.0,5.0,6_counter,exp1_both_ext_13,1
1,0,2,0,6,3,6,5,6,5,0,2,5,3,4,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,19,i was just doing the probability of each country.,7.0,7.0,7.0,3.0,6_counter,exp1_both_ext_14,1
5,4,4,5,2,1,6,5,5,5,2,1,3,2,3,3,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,31,Based on Alex's scans with no stolen gems detected,6.0,4.0,5.0,4.0,6_counter,exp1_both_ext_15,1
2,1,2,1,4,2,6,5,5,5,1,0,5,4,4,3,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,27,from the choices Alex did,2.0,5.0,3.0,4.0,6_counter,exp1_both_ext_16,1
1,0,1,0,4,3,0,5,6,5,2,2,4,3,4,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,24,from the data about how many had stolen,5.0,4.0,5.0,6.0,6_counter,exp1_both_ext_17,1
4,0,4,4,2,3,6,6,5,4,2,1,4,2,3,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,33,Based on how many aliens Alex scanned,6.0,6.0,4.0,5.0,6_counter,exp1_both_ext_18,1
1,0,1,1,3,1,5,4,4,5,1,0,3,2,2,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,25,Based on Alex's choices I just looked up the average amount of aliens that might steal ,5.0,4.0,7.0,3.0,6_counter,exp1_both_ext_19,1
4,2,2,3,2,1,5,5,4,4,1,1,3,2,2,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,24,"For guessing the proportion I looked both at the number of visitors Alex scanned in the first place, and at the number of visitors that got caught stealing previously.",5.0,5.0,6.0,6.0,6_counter,exp1_both_ext_21,1
1,0,1,0,4,3,6,5,5,3,1,2,4,3,3,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,18,I tried to predict number of thieves by judging theft rate and also consider randomness because we are not all the same.,6.0,4.0,6.0,6.0,6_counter,exp1_both_ext_22,1
4,1,4,3,2,2,6,5,5,5,3,2,4,2,4,3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,20,Depending on how many visitors did alex scan from each planet,7.0,5.0,3.0,6.0,6_counter,exp1_both_ext_24,1
4,3,4,3,3,1,5,5,4,4,1,1,4,3,2,2,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,23,"I counted how many visitors Alex let pass, if the number was high I thought they were less likely to steal a gem",6.0,5.0,6.0,3.0,6_counter,exp1_both_ext_25,1
1,0,1,1,2,2,6,5,5,5,1,0,5,4,3,2,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,27,Based on the example showing the number of thefts given at the start of each scenario,3.0,3.0,3.0,4.0,6_counter,exp1_both_ext_26,1
6,5,5,5,2,1,6,6,5,5,2,1,4,4,4,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21,Based on how many visitors Alex decided to scan ,5.0,5.0,6.0,4.0,6_counter,exp1_both_ext_27,1
2,1,1,1,2,1,6,4,6,4,2,3,3,3,4,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,23,"Taking the number of previous visitors, just guessing",6.0,6.0,5.0,4.0,6_counter,exp1_both_ext_28,1
6,6,6,5,2,1,6,6,5,6,2,1,4,4,3,3,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20,mostly intutition,7.0,4.0,4.0,7.0,6_counter,exp1_both_ext_29,1
1,2,2,1,2,1,5,5,5,5,4,2,2,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,21,trusting alex and seeing the ratio of the visitors who stole / didn't steal,6.0,5.0,5.0,4.0,6_counter,exp1_both_ext_31,1
1,1,2,1,4,5,5,4,5,3,1,2,4,3,4,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21,"More or less the same number as the example. Even though a high theft planet could have a group that didn't steal as much, the majority would have stolen",6.0,6.0,5.0,6.0,6_counter,exp1_both_ext_32,1
1,0,1,0,2,3,6,6,5,4,2,5,3,3,3,2,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,20,By the amount of visitors that were scanned and how many of them actually stole the gem,6.0,1.0,3.0,2.0,6_counter,exp1_both_ext_33,1
1,4,1,3,2,1,5,5,1,5,3,0,4,3,2,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,28,"I tried to guess between how many people from a particular planet Alex would scan anyway (if he is experienced, he wouldn't waste money if it wasn't accurate) and actual proportion of visitors who stole the gem. But there was one more thing to consider - if there was no visitor that was let to pass freely and scanned ones weren't thieves, the theft ratio could be still quite high.",6.0,6.0,6.0,2.0,6_counter,exp1_both_ext_34,1
1,1,2,1,2,5,6,4,5,5,4,5,5,3,4,2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,19,Looking at the number of all the visitors presented as well as looking at how many of them stole gems and how many did not,7.0,6.0,6.0,5.0,6_counter,exp1_both_ext_35,1
1,5,2,5,2,1,4,3,5,5,2,1,4,4,3,3,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,18,"If the other officer scanned the majority of the visitors, I would scan my visitor too. If half of the visitors were scanned, I would still scan my visitor. When guessing how many aliens could be thieves, I looked at how many actually were thieves in the officer's situation, and I added the number of the unscanned visitors, although I sometimes just counted how many convicted thievese there were.",6.0,6.0,6.0,6.0,6_counter,exp1_both_ext_36,1
2,0,2,1,3,1,5,6,6,4,1,1,4,2,2,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,20,I looked at how many were caught stealing and made a guess around there,6.0,5.0,6.0,6.0,6_counter,exp1_both_ext_37,1
6,6,5,5,2,2,6,6,5,6,2,1,4,4,3,3,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,21,if alex scaned 2 people and both didnt stole the gem than there is still a chance 2 form 6 would still the gem,5.0,6.0,5.0,4.0,6_counter,exp1_both_ext_38,1
1,0,3,0,3,1,6,5,5,3,0,0,3,3,2,2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,20,"I looked at the number of people who were scanned, unscanned and compared with people who stolen gems and not",7.0,6.0,5.0,3.0,6_counter,exp1_both_ext_39,1
5,4,3,3,5,2,6,5,5,5,1,0,4,3,4,3,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,38,"i would base it on how many people alex scanned, if he scanned alot then it was from an untrusty planet.",7.0,6.0,6.0,7.0,6_counter,exp1_both_ext_40,1
6,6,1,3,5,1,6,6,6,6,6,1,4,2,2,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25,"i think if im there to do scan people and prevent stealling i should scan EVERYBODY. But i trusted the ""best"" guy and i guess you should follow his judgment ",3.0,1.0,2.0,1.0,6_counter,exp1_both_ext_41,1
5,6,1,1,2,1,6,6,5,4,1,1,4,2,3,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,20,"I watched how many newcomers Alex checks and how many lets go, that is, whom he trusts. On that basis, I did it",5.0,2.0,5.0,5.0,6_counter,exp1_both_ext_42,1
4,3,2,1,2,2,6,6,6,5,3,0,5,2,3,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,21,I analized the amount of aliens previously scanned.,4.0,6.0,6.0,4.0,6_counter,exp1_both_ext_43,1
1,0,1,1,2,1,6,5,5,1,0,0,4,3,4,2,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,18,"I think I put more weighting on Alex's judgement, unless there was a major disparity",5.0,5.0,6.0,4.0,6_counter,exp1_both_ext_44,1
1,0,2,1,6,6,6,5,6,5,4,5,5,4,5,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,33,based on how many stole and how many unknowns there were,4.0,6.0,6.0,4.0,6_counter,exp1_both_ext_45,1
1,3,2,1,4,1,6,6,5,5,1,0,4,3,4,2,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,30,considering how much Alex has let pass & checked,6.0,4.0,4.0,5.0,6_counter,exp1_both_ext_46,1
1,3,2,1,4,2,6,5,5,3,1,0,3,2,3,2,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,22,Based in Alex's choice of scanning the visitors and results of the scan,6.0,6.0,5.0,5.0,6_counter,exp1_both_ext_47,1
1,0,2,1,3,3,6,5,5,4,4,3,4,3,3,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,19,Simple calculations but mostly thought process and brain movement,7.0,7.0,7.0,7.0,6_counter,exp1_both_ext_48,1
